"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Electrosmith Daisy Seed Rev4","UserLibrary:Electrosmith_Daisy_Seed",""
"2","A2","1","Adafruit PowerBoost 500C","UserLibrary:PowerBoost 500C",""
"3","C1, C3, C4","3","0.01uF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"4","C2, C11, C12","3","0.1uF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"5","C5, C6, C7, C9","4","10uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"6","C8, C10","2","220uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"7","J1, J2, J3, J4","4","JST B3B-PH-K","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
"8","J5, J6","2","JST B2B-PH-K","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"9","J7","1","JST B5B-PH-K","Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",""
"10","J8","1","NMJ6HCD2","UserLibrary:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal",""
"11","J9, J10","2","NMJ4HCD2","UserLibrary:Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal",""
"12","J11, J20","2","JST PH-R-2","",""
"13","J12","1","Conn_01x08_Socket","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"14","J13, J15, J17, J19","4","JST PH-R-3","",""
"15","J14, J16","2","Conn_01x20_Socket","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"16","J18","1","JST PH-R-5","",""
"17","J21, J22","2","DIP-8 Socket","Package_DIP:DIP-8_W7.62mm_Socket",""
"18","Q1","1","IRF9540N","Package_TO_SOT_THT:TO-220-3_Vertical",""
"19","R1","1","330K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R2","1","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R3","1","20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R4, R5","2","18K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R6, R7","2","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","R8, R9","2","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","RV1, RV2, RV3, RV4","4","B10K Pot","UserLibrary:Potentiometer_Alps_RK163_Single_Horizontal",""
"26","RV5","1","RK10J12E002L","UserLibrary:RK10J12E002L",""
"27","SW1","1","Adafruit PM162-K","",""
"28","SW2, SW3","2","Kailh Box Jade Switch","",""
"29","U1, U2","2","LM386","Package_DIP:DIP-8_W7.62mm",""
